Metric;Estimate;CI_Lower;CI_Upper;Tau2;I2
SMD;1.655748506;0.842550892;2.468946121;7.494321635;99.74505819
Hedges_g;1.645300219;0.838045919;2.452554518;7.385329957;99.74278499
LRR;0.038106676;0.020544089;0.055669262;0.003364078;99.83333054
